train loss,"[-46.50673, -52.1753, -55.126305, -57.380424, -58.389114, -58.94577, -59.23222, -59.63208, -59.940834, -59.702385, -59.02716, -58.629143, -58.251755, -57.9888, -57.45856, -57.410625, -57.535336, -57.852425, -57.80633, -58.42008, -58.51806, -58.14646, -58.35913, -58.58509, -58.829304, -59.03145, -59.303066, -59.190548, -59.060757, -59.147152, -59.128616, -59.160435, -58.691925, -59.57025, -59.57927, -59.881836, -59.943462, -59.99969, -59.91086, -59.816532, -59.57744, -59.744915, -59.093483, -58.95943, -58.96707, -58.327423, -58.353634, -58.219822, -58.23373, -58.290764]"
"train accuracy, inference","[0.1898262, 0.19712329, 0.20175458, 0.20698515, 0.21013084, 0.21181136, 0.2133251, 0.21467468, 0.21634938, 0.21662435, 0.216492, 0.21657643, 0.21645199, 0.21622771, 0.21562277, 0.21569209, 0.21608105, 0.21649735, 0.216479, 0.21697573, 0.21664006, 0.21516156, 0.21481247, 0.2132747, 0.2149692, 0.21730582, 0.21828282, 0.21962169, 0.22033688, 0.22118121, 0.22225876, 0.22300257, 0.22197586, 0.22145386, 0.22218022, 0.22308941, 0.22211656, 0.2211597, 0.22106327, 0.22177652, 0.22001627, 0.22184028, 0.22045662, 0.21993762, 0.22107483, 0.22074229, 0.22364338, 0.22306997, 0.22323489, 0.22474976]"
"train accuracy, from avg","[0.18972448, 0.19701533, 0.20164603, 0.206867, 0.21001415, 0.21168455, 0.2131986, 0.21454857, 0.21622628, 0.216499, 0.2163655, 0.21645312, 0.2163218, 0.21610586, 0.21550336, 0.21556741, 0.21595335, 0.21637584, 0.21635528, 0.21685058, 0.21651499, 0.2150349, 0.21468602, 0.21315327, 0.21484913, 0.21717635, 0.21815468, 0.21949394, 0.22021, 0.22105005, 0.22212842, 0.22287346, 0.2218412, 0.22132637, 0.22205372, 0.22296074, 0.22198685, 0.22103387, 0.22093907, 0.22164944, 0.21989349, 0.22170807, 0.22032787, 0.21981294, 0.22094512, 0.2206155, 0.22350974, 0.2229368, 0.2231052, 0.22461364]"
"train accuracy, from max","[0.18969175, 0.19697775, 0.20160833, 0.20681995, 0.20997086, 0.21161847, 0.2131393, 0.21448569, 0.21616708, 0.21643634, 0.2163014, 0.21639223, 0.2162559, 0.21604377, 0.21544759, 0.21550481, 0.2158935, 0.2163186, 0.21630177, 0.21678832, 0.21645275, 0.21497078, 0.21461788, 0.21309854, 0.2148029, 0.21711195, 0.21808513, 0.2194318, 0.2201434, 0.22097601, 0.22206056, 0.22280832, 0.2217639, 0.22125982, 0.2219969, 0.222898, 0.22192208, 0.22097096, 0.22087875, 0.2215785, 0.21983664, 0.2216319, 0.22025597, 0.21975029, 0.22087522, 0.22055438, 0.22344323, 0.22286528, 0.22304899, 0.22453925]"
val accuracy - inference,"[0.15680464, 0.1654258, 0.17301792, 0.17670053, 0.17928687, 0.18197197, 0.18434256, 0.18609548, 0.18658714, 0.18649763, 0.18632443, 0.1861464, 0.1859616, 0.18594052, 0.18612547, 0.18678436, 0.18681726, 0.18749887, 0.18811776, 0.188633, 0.18900833, 0.18929578, 0.18955265, 0.18978001, 0.19002523, 0.19023629, 0.19041991, 0.19058456, 0.1907477, 0.19104883, 0.19134618, 0.19161184, 0.19183253, 0.19209132, 0.19244485, 0.19278167, 0.19295715, 0.19304733, 0.19310851, 0.19315426, 0.19319901, 0.19324043, 0.19327988, 0.19331752, 0.19336459, 0.19339894, 0.1936404, 0.19369535, 0.19394577, 0.19410025]"
"val accuracy, from avg","[0.1561148, 0.16506723, 0.1727665, 0.17650758, 0.17912997, 0.18183887, 0.18422666, 0.1859929, 0.18649572, 0.18641546, 0.18624988, 0.18607818, 0.18589875, 0.1858822, 0.18607098, 0.18673304, 0.18676896, 0.18745303, 0.18807416, 0.18859142, 0.18896864, 0.18925785, 0.1895163, 0.18974511, 0.18999168, 0.19020396, 0.19038877, 0.1905545, 0.19071864, 0.19102068, 0.1913189, 0.19158535, 0.19180681, 0.1920663, 0.1924205, 0.19275795, 0.19293404, 0.19302481, 0.19308656, 0.19313286, 0.19317812, 0.19322005, 0.19325995, 0.19329804, 0.19334555, 0.19338031, 0.19362213, 0.19367744, 0.1939282, 0.19408302]"
"val accuracy, from max","[0.15615183, 0.16504782, 0.17278954, 0.17651331, 0.17913803, 0.18185109, 0.18423793, 0.18599994, 0.18648969, 0.18640278, 0.18623695, 0.18606572, 0.18588708, 0.18587293, 0.18606494, 0.18673405, 0.18676251, 0.18745507, 0.18807589, 0.18859065, 0.18896656, 0.18925515, 0.18951347, 0.18974225, 0.1899895, 0.19020139, 0.19038616, 0.19055177, 0.19071601, 0.19101979, 0.19131818, 0.19158436, 0.19180506, 0.19206527, 0.19242057, 0.19275807, 0.19293247, 0.19302247, 0.19308391, 0.19313015, 0.19317548, 0.19321743, 0.19325739, 0.19329554, 0.19334327, 0.19337788, 0.19362298, 0.19367538, 0.19392902, 0.19408265]"
variance of validation accuracy,"[0.013198927, 0.0061775446, 0.0039862543, 0.0029419959, 0.002326548, 0.001915276, 0.0016186237, 0.0015121698, 0.0013413727, 0.0012077838, 0.0010988414, 0.0010080636, 0.00093607605, 0.00086930394, 0.0008106977, 0.00075393915, 0.0007131845, 0.00066807866, 0.0006311834, 0.00060139596, 0.00057181716, 0.0005451441, 0.0005208403, 0.00049863756, 0.00047817826, 0.0004593581, 0.00043976307, 0.0004258901, 0.00040884316, 0.0003966838, 0.00038143992, 0.00036907196, 0.00035755336, 0.0003466308, 0.0003361851, 0.00032635033, 0.00031729043, 0.00030881166, 0.00030080974, 0.00029323995, 0.0002860278, 0.00027915835, 0.00027261674, 0.00026637316, 0.0002604127, 0.00025469065, 0.0002489984, 0.0002437681, 0.00023850799, 0.0002335757]"
