train loss,"[-22.308825, -25.204203, -25.076704, -25.108904, -25.094196, -25.092318, -25.06968, -25.04066, -24.995977, -24.92823, -24.844688, -24.727144, -24.599882, -24.48681, -24.368692, -24.310402, -24.32188, -24.343153, -24.29419, -24.251759, -24.204403, -24.159796, -24.062794, -24.019365, -23.925901, -23.883623, -23.85512, -23.847668, -23.839918, -23.858543]"
"train accuracy, inferencetrain accuracy, from avg","[0.16974056, 0.19240467, 0.19185698, 0.19225545, 0.19302474, 0.19377181, 0.19453718, 0.19527265, 0.19574325, 0.19635735, 0.19684567, 0.19693817, 0.19695096, 0.19688167, 0.19689709, 0.19660006, 0.19658077, 0.19641677, 0.19585596, 0.19509195, 0.19458689, 0.19337554, 0.19153473, 0.19000755, 0.18835372, 0.18658446, 0.18478107, 0.18226096, 0.18036906, 0.17899981]"
"train accuracy, from max","[0.16974184, 0.19237722, 0.19183888, 0.19223894, 0.19300348, 0.19375002, 0.19451277, 0.19524659, 0.19571652, 0.19633444, 0.19682431, 0.19691783, 0.1969283, 0.19685817, 0.19686836, 0.19657607, 0.19655399, 0.19639312, 0.19582991, 0.19506513, 0.1945556, 0.19334789, 0.19150701, 0.1899793, 0.18832785, 0.18656081, 0.18475448, 0.18223809, 0.18034577, 0.1789761]"
val accuracy - inference,"[0.16975118, 0.19232935, 0.19180691, 0.19221053, 0.19296557, 0.19370915, 0.19446914, 0.19519557, 0.1956638, 0.19628978, 0.19678457, 0.19687957, 0.19688421, 0.19681251, 0.19681531, 0.1965287, 0.19650598, 0.1963507, 0.1957823, 0.19501851, 0.19450097, 0.19330138, 0.19146074, 0.1899293, 0.18828468, 0.18652496, 0.18471093, 0.18219931, 0.18031116, 0.17893815]"
"val accuracy, from avg","[0.2034163, 0.20292357, 0.20236184, 0.20129189, 0.20041774, 0.1999027, 0.19989683, 0.19983298, 0.19982086, 0.19990684, 0.20006919, 0.20026574, 0.20041037, 0.20034459, 0.2002697, 0.20011888, 0.20000945, 0.19990164, 0.19991623, 0.20001145, 0.20017332, 0.200282, 0.20026064, 0.20020568, 0.2001241, 0.20005912, 0.19998994, 0.19988249, 0.19974099, 0.19961277]"
"val accuracy, from max","[0.20340674, 0.20291953, 0.20235638, 0.20128378, 0.20041086, 0.19989827, 0.19989577, 0.1998316, 0.19981985, 0.19990635, 0.20006968, 0.20026578, 0.20041056, 0.20034324, 0.20026831, 0.20011728, 0.20000789, 0.1999003, 0.19991542, 0.20001124, 0.20017347, 0.20028168, 0.20025933, 0.20020421, 0.20012239, 0.2000574, 0.19998838, 0.19988069, 0.19973895, 0.19961101]"
variance of validation accuracy,"[0.20341492, 0.20291166, 0.20234798, 0.20127195, 0.20039842, 0.1998895, 0.19989258, 0.19982691, 0.19981712, 0.19990546, 0.20007029, 0.20026514, 0.20041029, 0.20034182, 0.20026653, 0.20011316, 0.20000559, 0.19989826, 0.19991462, 0.20001116, 0.20017381, 0.20028155, 0.20025831, 0.20020251, 0.20011994, 0.20005496, 0.1999854, 0.19987722, 0.19973499, 0.19960749]"
