train loss,"[10.349592, 11.930639, 12.011022, 12.0440645, 12.072559, 12.092595, 12.129888, 12.156899, 12.160455, 12.16411, 12.171726, 12.19801, 12.188074, 12.213912, 12.2062025, 12.208676, 12.221908, 12.222167, 12.217568, 12.209129, 12.188252, 12.1538725, 12.143424, 12.1120615, 12.080891, 12.073122, 12.052241, 12.057772, 12.050896, 12.06121]"
"train accuracy, inference","[0.10082933, 0.10930649, 0.10950789, 0.1095649, 0.10982253, 0.11015812, 0.11044301, 0.11081162, 0.11104224, 0.11125181, 0.11146437, 0.11164448, 0.111864336, 0.11201603, 0.11210512, 0.112334035, 0.11252996, 0.11279626, 0.11313282, 0.1131755, 0.11346456, 0.11347618, 0.113873325, 0.11414205, 0.11438666, 0.11460444, 0.114878856, 0.11503524, 0.11500814, 0.1153087]"
"train accuracy, from avg","[0.10075475, 0.10922519, 0.10942634, 0.10948331, 0.10974068, 0.11007577, 0.110361286, 0.11072908, 0.110959396, 0.11116866, 0.11138286, 0.11156164, 0.111780345, 0.111932516, 0.112021506, 0.112250395, 0.11244679, 0.11271237, 0.113048755, 0.11309054, 0.11338099, 0.11339251, 0.11378826, 0.11405725, 0.11430049, 0.11451913, 0.11479287, 0.11494948, 0.114922024, 0.11522319]"
"train accuracy, from max","[0.10072001, 0.10918206, 0.10938375, 0.109434456, 0.10969212, 0.11002948, 0.11031158, 0.11068285, 0.11090894, 0.11112613, 0.11133451, 0.1115188, 0.11173124, 0.111878805, 0.111969426, 0.11220318, 0.11240548, 0.11266026, 0.11300349, 0.11303686, 0.11332948, 0.11334567, 0.11373306, 0.11400325, 0.11424128, 0.11446719, 0.1147371, 0.1148927, 0.114873186, 0.115175635]"
val accuracy - inference,"[0.09302561, 0.09500407, 0.09551346, 0.095751114, 0.09587076, 0.09590773, 0.09585148, 0.0958452, 0.095767505, 0.095712766, 0.0955761, 0.0954648, 0.09534185, 0.09523266, 0.09510676, 0.09502361, 0.094937116, 0.09486776, 0.09483336, 0.094770096, 0.09471467, 0.09465401, 0.09461699, 0.094568335, 0.09453981, 0.09450739, 0.094494045, 0.09449604, 0.09447844, 0.09444727]"
"val accuracy, from avg","[0.09248964, 0.09473576, 0.09533483, 0.09561726, 0.095763765, 0.09581865, 0.095775254, 0.095778555, 0.095708355, 0.095659584, 0.09552785, 0.09542064, 0.09530115, 0.09519493, 0.09507161, 0.094990686, 0.094906166, 0.09483855, 0.0948057, 0.09474385, 0.0946897, 0.09463019, 0.09459421, 0.09454652, 0.094518885, 0.094487265, 0.09447467, 0.09447737, 0.09446041, 0.09442985]"
"val accuracy, from max","[0.09249954, 0.09472281, 0.0953252, 0.09560802, 0.095754236, 0.09581367, 0.09576855, 0.095773585, 0.09570304, 0.09565395, 0.09552139, 0.09541419, 0.09529657, 0.09519117, 0.09506564, 0.094986096, 0.0949012, 0.094834045, 0.09480316, 0.09474078, 0.09468645, 0.094627276, 0.094591655, 0.09454403, 0.09451621, 0.094484694, 0.09447213, 0.094475, 0.09445819, 0.09442759]"
variance of validation accuracy,"[0.0032043383, 0.0015793815, 0.0010484979, 0.0007818639, 0.0006249696, 0.0005228147, 0.0004465133, 0.00039233267, 0.0003401935, 0.00031163543, 0.0002836138, 0.00025363266, 0.00024042279, 0.00022344291, 0.00020875037, 0.00019089878, 0.00018443167, 0.00017428398, 0.00016515702, 0.00015440583, 0.00014711916, 0.00014050305, 0.00013443828, 0.00012937188, 0.00012375414, 0.00011948496, 0.00011506677, 0.000110954046, 0.00010469556, 0.00010360032]"
