train loss,"[-12.483224, -14.086396, -14.763414, -15.169863, -15.331355, -15.34854, -15.331195, -15.250942, -15.149329, -15.016183, -14.885769, -14.815141, -14.69342, -14.567764, -14.390386, -14.251106, -14.127203, -14.224438, -13.997917, -14.065008, -13.923837, -13.984896, -13.916428, -13.624878, -13.751354, -13.265573, -13.549979, -13.360462, -13.340961, -13.191323, -13.3055105, -13.251914, -13.162759, -13.204781, -13.086286, -13.073833, -12.973113, -13.125143, -13.073728, -13.004335, -13.119274, -13.223241, -13.172284, -13.1081085, -13.20579, -13.190305, -13.21775, -13.193956, -13.213787, -13.226059]"
"train accuracy, inference","[0.21313377, 0.2213018, 0.22363126, 0.22594565, 0.22617288, 0.22499654, 0.22269812, 0.21987158, 0.21765211, 0.21576424, 0.21365817, 0.21209043, 0.21093865, 0.20979355, 0.20904061, 0.20795761, 0.20799525, 0.208491, 0.20813607, 0.20717527, 0.20778935, 0.20804968, 0.20800197, 0.20781922, 0.20892112, 0.20747934, 0.20894161, 0.20888577, 0.20971891, 0.20861839, 0.21021481, 0.2090699, 0.21068932, 0.20967732, 0.2090318, 0.20805624, 0.20769174, 0.20641907, 0.20704664, 0.20504269, 0.2077141, 0.20741071, 0.20843507, 0.20848441, 0.20728779, 0.20660517, 0.20682248, 0.20646, 0.20851785, 0.20867287]"
"train accuracy, from avg","[0.21300611, 0.22117354, 0.22350049, 0.22580852, 0.22603592, 0.22486535, 0.22256984, 0.21974048, 0.21752357, 0.21563709, 0.21353555, 0.21197286, 0.21081775, 0.20967194, 0.20891905, 0.20783685, 0.2078805, 0.2083716, 0.20802204, 0.20705424, 0.20766515, 0.2079305, 0.20788746, 0.20770232, 0.20879708, 0.20735602, 0.20881696, 0.20876876, 0.20959453, 0.20849541, 0.21009019, 0.2089537, 0.21056868, 0.20956196, 0.20890982, 0.20793112, 0.20757467, 0.20630413, 0.20692682, 0.20492248, 0.20759709, 0.20728834, 0.20831975, 0.20836383, 0.20716976, 0.20649076, 0.20670132, 0.20634197, 0.2083982, 0.20855318]"
"train accuracy, from max","[0.21295138, 0.22111908, 0.22343445, 0.22573406, 0.2259635, 0.22479899, 0.2225085, 0.21967912, 0.21746014, 0.21557376, 0.21347605, 0.21192852, 0.21076518, 0.20961365, 0.20886336, 0.20778042, 0.20783047, 0.20831591, 0.20796806, 0.20699422, 0.20760563, 0.207876, 0.20783962, 0.20765531, 0.20873751, 0.20729797, 0.20876318, 0.20871176, 0.20954224, 0.20843698, 0.21003376, 0.20891199, 0.21051888, 0.20952277, 0.20885995, 0.20788078, 0.20753238, 0.20625976, 0.20687915, 0.2048818, 0.20755383, 0.20724209, 0.20827639, 0.20832056, 0.2071215, 0.20644769, 0.20664889, 0.20629138, 0.20835014, 0.20850168]"
val accuracy - inference,"[0.21058089, 0.20528017, 0.20478243, 0.20460434, 0.20318626, 0.19907328, 0.19616021, 0.19402806, 0.19212617, 0.19017585, 0.18837962, 0.18685704, 0.18557768, 0.18447201, 0.18350379, 0.182717, 0.1819873, 0.18141964, 0.18096612, 0.1805322, 0.1801334, 0.17986703, 0.17963299, 0.17939483, 0.17919762, 0.17897856, 0.17882445, 0.17873262, 0.17880611, 0.17891015, 0.17917262, 0.17943826, 0.17964949, 0.17986053, 0.18005136, 0.18022583, 0.18040513, 0.18056212, 0.18070792, 0.18084632, 0.1809775, 0.18110286, 0.18122238, 0.18116876, 0.18126568, 0.18109106, 0.18090972, 0.18058728, 0.18067436, 0.18049052]"
"val accuracy, from avg","[0.2095507, 0.20478654, 0.20445539, 0.20435973, 0.20299253, 0.19891621, 0.19602823, 0.19391428, 0.19202636, 0.19008726, 0.1883001, 0.18678495, 0.18551175, 0.18441129, 0.18344754, 0.18266457, 0.18193823, 0.18137349, 0.18092255, 0.18049094, 0.18009423, 0.17982972, 0.17959736, 0.17936076, 0.17916495, 0.1789472, 0.17879431, 0.17870356, 0.17877805, 0.178883, 0.17914629, 0.17941271, 0.17962466, 0.17983639, 0.18002787, 0.18020298, 0.18038285, 0.18054043, 0.18068676, 0.18082567, 0.18095732, 0.18108314, 0.1812031, 0.18114993, 0.18124725, 0.18107307, 0.18089212, 0.1805701, 0.18065752, 0.18047404]"
"val accuracy, from max","[0.20956421, 0.20474234, 0.20444642, 0.20435311, 0.20297514, 0.19886999, 0.19599487, 0.19388841, 0.19200382, 0.19006228, 0.1882775, 0.18676493, 0.18549582, 0.18439639, 0.18343465, 0.18265341, 0.1819276, 0.18136472, 0.18091574, 0.18048398, 0.18008736, 0.17982459, 0.17959261, 0.17935604, 0.17916079, 0.1789427, 0.17879085, 0.17870133, 0.1787781, 0.17888317, 0.17914918, 0.17941526, 0.1796271, 0.17983884, 0.18003018, 0.18020524, 0.18038476, 0.1805423, 0.18068862, 0.18082742, 0.180959, 0.18108475, 0.18120463, 0.18114908, 0.1812485, 0.18107054, 0.1808897, 0.18056561, 0.18065886, 0.18047139]"
variance of validation accuracy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
