train loss,"[-48.91921, -51.719482, -51.30018, -51.59789, -51.946636, -52.2864, -52.41284, -52.452797, -52.388977, -52.318615, -52.13208, -52.093105, -52.079964, -52.070915, -51.914772, -51.746983, -51.484478, -51.289146, -51.09803, -51.022224, -50.952457, -50.947243, -50.991497, -51.04753, -51.155743, -51.202477, -51.133385, -51.011738, -50.792236, -50.76639, -50.515427, -50.1967, -49.892845, -49.649662, -49.190025, -48.88104, -48.54032, -48.225296, -48.03231, -47.74076, -47.43613, -47.003876, -46.862217, -46.59555, -46.410263, -46.210583, -46.056305, -45.81252, -45.74197, -45.584053]"
"train accuracy, inferencetrain accuracy, from avg","[0.1706279, 0.180936, 0.18215117, 0.18398573, 0.18583506, 0.18770882, 0.18912458, 0.19009873, 0.19062984, 0.19118753, 0.1918203, 0.19245723, 0.19313441, 0.19395624, 0.19480252, 0.19530153, 0.19583601, 0.19603376, 0.19661738, 0.19690311, 0.19722581, 0.19731446, 0.19749363, 0.19801193, 0.19844778, 0.1987117, 0.19905347, 0.1994231, 0.19964403, 0.19978279, 0.1999415, 0.19955273, 0.1992954, 0.19870974, 0.19757277, 0.19585192, 0.19422348, 0.1921276, 0.19046515, 0.18939362, 0.18779494, 0.1859545, 0.18335909, 0.18211585, 0.17987037, 0.17784171, 0.1750363, 0.17344812, 0.17161517, 0.17073758]"
"train accuracy, from max","[0.17061038, 0.1809058, 0.18212418, 0.18396372, 0.1858086, 0.18768136, 0.18909714, 0.19006994, 0.19060338, 0.19116174, 0.19179687, 0.19243185, 0.19311415, 0.19392943, 0.19478114, 0.1952828, 0.19580717, 0.19600898, 0.19659765, 0.19687705, 0.19720381, 0.19728416, 0.1974713, 0.1979904, 0.19841905, 0.19868319, 0.19902739, 0.19940022, 0.1996209, 0.1997579, 0.1999171, 0.1995302, 0.19927357, 0.19869046, 0.19755036, 0.19583097, 0.1942017, 0.19210428, 0.19044521, 0.18937688, 0.18777934, 0.18593492, 0.1833433, 0.18209775, 0.17985088, 0.17782393, 0.17502494, 0.1734356, 0.17160915, 0.17072874]"
val accuracy - inference,"[0.17059042, 0.18085988, 0.18208101, 0.18393493, 0.18576692, 0.18763655, 0.18905398, 0.19002602, 0.19056249, 0.19112334, 0.19175752, 0.19239224, 0.19308472, 0.19388288, 0.19474322, 0.195248, 0.19575249, 0.19596143, 0.19655973, 0.19682975, 0.1971638, 0.1972253, 0.19742857, 0.1979501, 0.19836205, 0.19862933, 0.1989769, 0.19935505, 0.19957504, 0.19971038, 0.19986998, 0.19948785, 0.19923143, 0.1986546, 0.19750793, 0.19579157, 0.19415946, 0.19206241, 0.19041121, 0.1893492, 0.18775655, 0.18590379, 0.18331797, 0.18206999, 0.17982127, 0.1777973, 0.17501478, 0.17341936, 0.17160623, 0.17072026]"
"val accuracy, from avg","[0.18310365, 0.18267705, 0.18262759, 0.18307497, 0.18360853, 0.18408321, 0.18449996, 0.18498799, 0.18573757, 0.1867054, 0.18769532, 0.1886265, 0.18937442, 0.18994687, 0.19035785, 0.19070402, 0.19072, 0.19059017, 0.1904688, 0.1903277, 0.19028848, 0.1902616, 0.19022621, 0.1902879, 0.19036289, 0.19044523, 0.1905533, 0.19077787, 0.19099526, 0.19131589, 0.1916333, 0.19189604, 0.1921635, 0.19241925, 0.19265325, 0.19283801, 0.19301184, 0.1931794, 0.19332638, 0.19340447, 0.19348049, 0.19355278, 0.19348398, 0.19339508, 0.19328487, 0.19241919, 0.1915969, 0.19068041, 0.18981215, 0.18888538]"
"val accuracy, from max","[0.18305886, 0.182659, 0.18261711, 0.18307233, 0.18360798, 0.1840822, 0.18449979, 0.18498808, 0.18573955, 0.18671024, 0.18770044, 0.18863118, 0.18937804, 0.18994862, 0.19035853, 0.1907043, 0.19071855, 0.19058837, 0.19046697, 0.19032584, 0.19028729, 0.19026051, 0.19022502, 0.19028749, 0.19036248, 0.19044483, 0.19055295, 0.19077809, 0.1909956, 0.191317, 0.19163442, 0.19189675, 0.19216429, 0.19242, 0.19265394, 0.19283834, 0.19301218, 0.19317965, 0.19332652, 0.19340412, 0.19348027, 0.19355264, 0.19348277, 0.19339386, 0.19328351, 0.1924127, 0.19159043, 0.19067378, 0.18980592, 0.18887886]"
variance of validation accuracy,"[0.18303375, 0.18263938, 0.18260734, 0.1830737, 0.1836111, 0.18408683, 0.18450603, 0.18499567, 0.18574625, 0.18671992, 0.18770903, 0.1886393, 0.1893852, 0.18995209, 0.19036104, 0.1907056, 0.19071758, 0.19058552, 0.19046389, 0.19032246, 0.19028494, 0.1902583, 0.19022281, 0.19028689, 0.19036193, 0.19044475, 0.19055314, 0.19077894, 0.19099696, 0.19131956, 0.19163696, 0.19189882, 0.19216646, 0.19242191, 0.1926555, 0.19283955, 0.19301325, 0.19318047, 0.19332738, 0.19340372, 0.19347975, 0.19355214, 0.19348077, 0.1933914, 0.19328095, 0.19240054, 0.19157991, 0.19066128, 0.1897939, 0.18886629]"
